"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"03/28/2015 16:22:46.096","0","0","0","12.045115515274592","6.25"
"03/28/2015 16:22:47.096","0","0","0","12.106539806701516","18.75"
"03/28/2015 16:22:48.096","0","0","0","12.184573727953067","23.4375"
"03/28/2015 16:22:49.096","0","0","0","12.184573727953067","9.375"
"03/28/2015 16:22:50.096","0","0","0","11.985884948541486","20.3125"
"03/28/2015 16:22:51.096","0","0","0","11.985884948541486","15.625"
"03/28/2015 16:22:52.096","0","0","0","11.985884948541486","6.25"
"03/28/2015 16:22:53.096","0","0","0","12.00531508154388","7.8125"
"03/28/2015 16:22:54.096","0","0","0","11.953605856618154","1.5625"
"03/28/2015 16:22:55.096","0","0","0","11.953605856618154","4.6875"
"03/28/2015 16:22:56.096","0","0","0","11.953605856618154","3.125"
"03/28/2015 16:22:57.096","0","0","0","11.953605856618154","3.125"
"03/28/2015 16:22:58.096","0","0","0","11.950785353440386","4.6875"
"03/28/2015 16:22:59.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:00.096","0","0","0","11.950785353440386","10.9375"
"03/28/2015 16:23:01.096","0","0","0","11.950785353440386","9.375"
"03/28/2015 16:23:02.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:03.096","0","0","0","11.950785353440386","4.6875"
"03/28/2015 16:23:04.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:05.096","0","0","0","11.950785353440386","6.25"
"03/28/2015 16:23:06.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:07.096","0","0","0","11.950785353440386","6.25"
"03/28/2015 16:23:08.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:09.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:10.096","0","0","0","11.950785353440386","4.6875"
"03/28/2015 16:23:11.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:12.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:13.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:14.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:15.096","0","0","0","11.950785353440386","4.6875"
"03/28/2015 16:23:16.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:17.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:18.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:19.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:20.096","0","0","0","11.950785353440386","4.6875"
"03/28/2015 16:23:21.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:22.096","0","0","0","11.950785353440386","3.125"
"03/28/2015 16:23:23.096","0","0","0","11.950785353440386","1.5625"
"03/28/2015 16:23:24.096","0","0","0","12.000300853672295","7.8125"
"03/28/2015 16:23:25.096","0","0","0","12.000300853672295","3.125"
"03/28/2015 16:23:26.096","0","0","0","11.966141426297119","3.125"
"03/28/2015 16:23:27.096","0","0","0","11.966141426297119","3.125"
"03/28/2015 16:23:28.096","0","0","0","11.966141426297119","7.8125"
"03/28/2015 16:23:29.096","0","0","0","11.966141426297119","6.25"
"03/28/2015 16:23:30.096","0","0","0","11.966141426297119","3.125"
"03/28/2015 16:23:31.096","0","0","0","11.966141426297119","6.25"
"03/28/2015 16:23:32.096","0","0","0","11.966141426297119","6.25"
"03/28/2015 16:23:33.096","0","0","0","11.966141426297119","3.125"
"03/28/2015 16:23:34.096","0","0","0","11.966141426297119","1.5625"
"03/28/2015 16:23:35.096","0","0","0","11.966141426297119","3.125"
"03/28/2015 16:23:36.096","0","0","0","11.966141426297119","0"
"03/28/2015 16:23:37.096","0","0","0","11.958306695247765","9.375"
"03/28/2015 16:23:38.096","0","0","0","12.129730610607599","9.375"
"03/28/2015 16:23:39.096","0","0","0","12.129730610607599","7.8125"
"03/28/2015 16:23:40.096","0","0","0","12.121582490316273","50"
"03/28/2015 16:23:41.096","0","0","0","12.129730610607599","15.625"
"03/28/2015 16:23:42.096","0","0","0","12.139132287866822","59.375"
"03/28/2015 16:23:43.096","0","0","0","12.139132287866822","10.9375"
"03/28/2015 16:23:44.096","0","0","0","12.165456984192646","12.5"
"03/28/2015 16:23:45.096","0","0","0","12.135998395447082","56.25"
"03/28/2015 16:23:46.096","0","0","0","12.135998395447082","9.375"
"03/28/2015 16:23:47.096","0","0","0","12.135998395447082","23.4375"
"03/28/2015 16:23:48.096","0","0","0","12.135998395447082","10.9375"
"03/28/2015 16:23:49.096","0","0","0","12.135998395447082","46.875"
"03/28/2015 16:23:50.096","0","0","0","12.135998395447082","21.875"
"03/28/2015 16:23:51.096","0","0","0","12.251325636493551","26.5625"
"03/28/2015 16:23:52.096","0","0","0","12.251325636493551","14.0625"
"03/28/2015 16:23:53.096","0","0","0","12.251325636493551","28.125"
"03/28/2015 16:23:54.096","0","0","0","12.089616787634915","20.3125"
"03/28/2015 16:23:55.096","0","0","0","12.089616787634915","10.9375"
"03/28/2015 16:23:56.096","0","0","0","12.122522658042195","12.5"
"03/28/2015 16:23:57.096","0","0","0","12.104346082007696","10.9375"
"03/28/2015 16:23:58.096","0","0","0","12.104346082007696","4.6875"
"03/28/2015 16:23:59.096","0","0","0","12.104346082007696","4.6875"
"03/28/2015 16:24:00.096","0","0","0","12.104346082007696","7.8125"
"03/28/2015 16:24:01.096","0","0","0","12.110300477605204","10.9375"
"03/28/2015 16:24:02.096","0","0","0","12.11061386684718","12.5"
"03/28/2015 16:24:03.096","0","0","0","12.111240645331128","9.375"
"03/28/2015 16:24:04.096","0","0","0","12.111867423815076","6.25"
"03/28/2015 16:24:05.096","0","0","0","12.11061386684718","9.375"
"03/28/2015 16:24:06.096","0","0","0","12.11061386684718","6.25"
"03/28/2015 16:24:07.096","0","0","0","12.111240645331128","17.1875"
"03/28/2015 16:24:08.096","0","0","0","12.110927256089154","18.75"
"03/28/2015 16:24:09.096","0","0","0","12.110927256089154","9.375"
"03/28/2015 16:24:10.096","0","0","0","12.108106752911386","17.1875"
"03/28/2015 16:24:11.096","0","0","0","12.10998708836323","10.9375"
"03/28/2015 16:24:12.096","0","0","0","12.279217279029247","21.875"
"03/28/2015 16:24:13.096","0","0","0","12.299274190515588","15.625"
"03/28/2015 16:24:14.096","0","0","0","12.277650332819375","9.375"
"03/28/2015 16:24:15.096","0","0","0","12.270128991011997","54.6875"
"03/28/2015 16:24:16.096","0","0","0","12.282351171448987","62.5"
"03/28/2015 16:24:17.096","0","0","0","12.308675867774811","26.5625"
"03/28/2015 16:24:18.096","0","0","0","12.272949494189763","67.1875"
"03/28/2015 16:24:19.096","0","0","0","12.272949494189763","15.625"
"03/28/2015 16:24:20.096","0","0","0","12.272949494189763","14.0625"
"03/28/2015 16:24:21.096","0","0","0","12.272949494189763","9.375"
"03/28/2015 16:24:22.096","0","0","0","12.272949494189763","4.6875"
"03/28/2015 16:24:23.096","0","0","0","12.272949494189763","10.9375"
"03/28/2015 16:24:24.096","0","0","0","12.119075376380479","9.375"
"03/28/2015 16:24:25.096","0","0","0","12.122209268800219","10.9375"
"03/28/2015 16:24:26.096","0","0","0","12.122209268800219","3.125"
"03/28/2015 16:24:27.096","0","0","0","12.138818898624848","6.25"
"03/28/2015 16:24:28.096","0","0","0","12.108106752911386","4.6875"
"03/28/2015 16:24:29.096","0","0","0","12.108106752911386","1.5625"
"03/28/2015 16:24:30.096","0","0","0","12.10528624973362","1.5625"
"03/28/2015 16:24:31.096","0","0","0","12.094944404748475","1.5625"
"03/28/2015 16:24:32.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:33.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:34.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:35.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:36.096","0","0","0","12.094944404748475","1.5625"
"03/28/2015 16:24:37.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:38.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:39.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:40.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:41.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:42.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:43.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:44.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:45.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:46.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:47.096","0","0","0","12.094944404748475","4.6875"
"03/28/2015 16:24:48.096","0","0","0","12.094944404748475","0"
"03/28/2015 16:24:49.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:50.096","0","0","0","12.094944404748475","3.125"
"03/28/2015 16:24:51.096","0","0","0","12.094944404748475","0"
"03/28/2015 16:24:52.096","0","0","0","12.094004237022551","3.125"
"03/28/2015 16:24:53.096","0","0","0","12.094004237022551","1.5625"
"03/28/2015 16:24:54.096","0","0","0","12.094004237022551","7.8125"
"03/28/2015 16:24:55.096","0","0","0","12.094004237022551","6.25"
"03/28/2015 16:24:56.096","0","0","0","12.094004237022551","4.6875"
"03/28/2015 16:24:57.096","0","0","0","12.094004237022551","0"
"03/28/2015 16:24:58.096","0","0","0","12.125343161219963","7.8125"
"03/28/2015 16:24:59.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:00.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:01.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:02.096","0","0","0","12.09995863262006","4.6875"
"03/28/2015 16:25:03.096","0","0","0","12.09995863262006","6.25"
"03/28/2015 16:25:04.096","0","0","0","12.09995863262006","4.6875"
"03/28/2015 16:25:05.096","0","0","0","12.09995863262006","4.6875"
"03/28/2015 16:25:06.096","0","0","0","12.09995863262006","7.8125"
"03/28/2015 16:25:07.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:08.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:09.096","0","0","0","12.09995863262006","4.6875"
"03/28/2015 16:25:10.096","0","0","0","12.09995863262006","0"
"03/28/2015 16:25:11.096","0","0","0","12.09995863262006","3.125"
"03/28/2015 16:25:12.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:13.096","0","0","0","12.09995863262006","1.5625"
"03/28/2015 16:25:14.096","0","0","0","12.09995863262006","3.125"
"03/28/2015 16:25:15.096","0","0","0","12.097451518684267","9.375"
"03/28/2015 16:25:16.096","0","0","0","12.097451518684267","1.5625"
"03/28/2015 16:25:17.096","0","0","0","12.097451518684267","3.125"
"03/28/2015 16:25:18.096","0","0","0","12.097451518684267","4.6875"
"03/28/2015 16:25:19.096","0","0","0","12.091810512328733","3.125"
"03/28/2015 16:25:20.096","0","0","0","12.091810512328733","1.5625"
"03/28/2015 16:25:21.096","0","0","0","12.091810512328733","3.125"
"03/28/2015 16:25:22.096","0","0","0","12.091810512328733","4.6875"
"03/28/2015 16:25:23.096","0","0","0","12.091810512328733","3.125"
"03/28/2015 16:25:24.096","0","0","0","12.091810512328733","4.6875"
"03/28/2015 16:25:25.096","0","0","0","12.091810512328733","1.5625"
"03/28/2015 16:25:26.096","0","0","0","12.091810512328733","3.125"
"03/28/2015 16:25:27.096","0","0","0","12.091810512328733","1.5625"
"03/28/2015 16:25:28.096","0","0","0","12.091810512328733","3.125"
"03/28/2015 16:25:29.096","0","0","0","12.107793363669412","1.5625"
"03/28/2015 16:25:30.096","0","0","0","12.107793363669412","3.125"
"03/28/2015 16:25:31.096","0","0","0","12.076141050230028","3.125"
"03/28/2015 16:25:32.096","0","0","0","12.076141050230028","4.6875"
"03/28/2015 16:25:33.096","0","0","0","12.076141050230028","3.125"
"03/28/2015 16:25:34.096","0","0","0","12.076141050230028","3.125"
"03/28/2015 16:25:35.096","0","0","0","12.076141050230028","4.6875"
"03/28/2015 16:25:36.096","0","0","0","12.076141050230028","1.5625"
"03/28/2015 16:25:37.096","0","0","0","12.076141050230028","3.125"
"03/28/2015 16:25:38.096","0","0","0","12.076141050230028","1.5625"
"03/28/2015 16:25:39.096","0","0","0","12.076141050230028","4.6875"
"03/28/2015 16:25:40.096","0","0","0","12.076141050230028","3.125"
"03/28/2015 16:25:41.096","0","0","0","12.074260714778182","6.25"
"03/28/2015 16:25:42.096","0","0","0","12.074260714778182","1.5625"
"03/28/2015 16:25:43.096","0","0","0","12.074260714778182","4.6875"
"03/28/2015 16:25:44.096","0","0","0","12.074260714778182","3.125"
"03/28/2015 16:25:45.096","0","0","0","12.074260714778182","6.25"
"03/28/2015 16:25:46.096","0","0","0","12.074260714778182","6.25"
"03/28/2015 16:25:47.096","0","0","0","12.074260714778182","4.6875"
"03/28/2015 16:25:48.096","0","0","0","12.074260714778182","3.125"
"03/28/2015 16:25:49.096","0","0","0","12.074260714778182","4.6875"
"03/28/2015 16:25:50.096","0","0","0","12.074260714778182","6.25"
"03/28/2015 16:25:51.096","0","0","0","12.074260714778182","4.6875"
"03/28/2015 16:25:52.096","0","0","0","12.074260714778182","6.25"
"03/28/2015 16:25:53.096","0","0","0","12.074260714778182","4.6875"
"03/28/2015 16:25:54.096","0","0","0","12.074260714778182","1.5625"
"03/28/2015 16:25:55.096","0","0","0","12.066425983728831","4.6875"
"03/28/2015 16:25:56.096","0","0","0","12.066425983728831","1.5625"
"03/28/2015 16:25:57.096","0","0","0","12.066425983728831","4.6875"
"03/28/2015 16:25:58.096","0","0","0","12.066425983728831","4.6875"
"03/28/2015 16:25:59.096","0","0","0","12.066425983728831","3.125"
"03/28/2015 16:26:00.096","0","0","0","12.07018665463252","4.6875"
"03/28/2015 16:26:01.096","0","0","0","12.094631015506501","7.8125"
"03/28/2015 16:26:02.096","0","0","0","12.074887493262132","0"
"03/28/2015 16:26:03.096","0","0","0","12.070500043874494","10.9375"
"03/28/2015 16:26:04.096","0","0","0","12.070500043874494","0"
"03/28/2015 16:26:05.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:06.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:07.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:08.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:09.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:10.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:11.096","0","0","0","12.070500043874494","0"
"03/28/2015 16:26:12.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:13.096","0","0","0","12.070500043874494","0"
"03/28/2015 16:26:14.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:15.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:16.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:17.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:18.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:19.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:20.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:21.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:22.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:23.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:24.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:25.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:26.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:27.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:28.096","0","0","0","12.070500043874494","1.5625"
"03/28/2015 16:26:29.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:30.096","0","0","0","12.070500043874494","3.125"
"03/28/2015 16:26:31.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:26:32.096","0","0","0","12.07394732553621","4.6875"
"03/28/2015 16:26:33.096","0","0","0","12.054830581775789","3.125"
"03/28/2015 16:26:34.096","0","0","0","12.054830581775789","3.125"
"03/28/2015 16:26:35.096","0","0","0","12.054830581775789","4.6875"
"03/28/2015 16:26:36.096","0","0","0","12.054830581775789","6.25"
"03/28/2015 16:26:37.096","0","0","0","12.054830581775789","1.5625"
"03/28/2015 16:26:38.096","0","0","0","12.054830581775789","4.6875"
"03/28/2015 16:26:39.096","0","0","0","12.054830581775789","4.6875"
"03/28/2015 16:26:40.096","0","0","0","12.054830581775789","0"
"03/28/2015 16:26:41.096","0","0","0","12.053890414049867","6.25"
"03/28/2015 16:26:42.096","0","0","0","12.053890414049867","1.5625"
"03/28/2015 16:26:43.096","0","0","0","12.053890414049867","0"
"03/28/2015 16:26:44.096","0","0","0","12.053890414049867","3.125"
"03/28/2015 16:26:45.096","0","0","0","12.053890414049867","3.125"
"03/28/2015 16:26:46.096","0","0","0","12.053890414049867","4.6875"
"03/28/2015 16:26:47.096","0","0","0","12.053890414049867","1.5625"
"03/28/2015 16:26:48.096","0","0","0","12.053890414049867","1.5625"
"03/28/2015 16:26:49.096","0","0","0","12.053890414049867","4.6875"
"03/28/2015 16:26:50.096","0","0","0","12.053890414049867","3.125"
"03/28/2015 16:26:51.096","0","0","0","12.053890414049867","7.8125"
"03/28/2015 16:26:52.096","0","0","0","12.053890414049867","1.5625"
"03/28/2015 16:26:53.096","0","0","0","12.053890414049867","6.25"
"03/28/2015 16:26:54.096","0","0","0","12.053890414049867","4.6875"
"03/28/2015 16:26:55.096","0","0","0","12.0510699108721","3.125"
"03/28/2015 16:26:56.096","0","0","0","12.0510699108721","4.6875"
"03/28/2015 16:26:57.096","0","0","0","12.052323467839996","0"
"03/28/2015 16:26:58.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:26:59.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:00.096","0","0","0","12.052323467839996","6.25"
"03/28/2015 16:27:01.096","0","0","0","12.052323467839996","1.5625"
"03/28/2015 16:27:02.096","0","0","0","12.052323467839996","1.5625"
"03/28/2015 16:27:03.096","0","0","0","12.084289170521355","7.8125"
"03/28/2015 16:27:04.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:05.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:06.096","0","0","0","12.066739372970805","7.8125"
"03/28/2015 16:27:07.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:08.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:09.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:10.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:11.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:12.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:13.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:14.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:15.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:16.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:17.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:18.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:19.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:20.096","0","0","0","12.066739372970805","0"
"03/28/2015 16:27:21.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:22.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:23.096","0","0","0","12.066739372970805","6.25"
"03/28/2015 16:27:24.096","0","0","0","12.066739372970805","6.25"
"03/28/2015 16:27:25.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:26.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:27.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:28.096","0","0","0","12.066739372970805","0"
"03/28/2015 16:27:29.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:30.096","0","0","0","12.066739372970805","4.6875"
"03/28/2015 16:27:31.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:32.096","0","0","0","12.066739372970805","3.125"
"03/28/2015 16:27:33.096","0","0","0","12.066739372970805","1.5625"
"03/28/2015 16:27:34.096","0","0","0","12.08397578127938","4.6875"
"03/28/2015 16:27:35.096","0","0","0","12.086482895215173","3.125"
"03/28/2015 16:27:36.096","0","0","0","12.052323467839996","4.6875"
"03/28/2015 16:27:37.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:38.096","0","0","0","12.052323467839996","6.25"
"03/28/2015 16:27:39.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:40.096","0","0","0","12.052323467839996","1.5625"
"03/28/2015 16:27:41.096","0","0","0","12.052323467839996","1.5625"
"03/28/2015 16:27:42.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:43.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:44.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:45.096","0","0","0","12.052323467839996","7.8125"
"03/28/2015 16:27:46.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:47.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:48.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:49.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:50.096","0","0","0","12.052323467839996","4.6875"
"03/28/2015 16:27:51.096","0","0","0","12.052323467839996","6.25"
"03/28/2015 16:27:52.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:27:53.096","0","0","0","12.050443132388152","6.25"
"03/28/2015 16:27:54.096","0","0","0","12.050443132388152","4.6875"
"03/28/2015 16:27:55.096","0","0","0","12.050443132388152","1.5625"
"03/28/2015 16:27:56.096","0","0","0","12.050443132388152","1.5625"
"03/28/2015 16:27:57.096","0","0","0","12.050443132388152","3.125"
"03/28/2015 16:27:58.096","0","0","0","12.050443132388152","0"
"03/28/2015 16:27:59.096","0","0","0","12.050443132388152","1.5625"
"03/28/2015 16:28:00.096","0","0","0","12.050443132388152","3.125"
"03/28/2015 16:28:01.096","0","0","0","12.050443132388152","0"
"03/28/2015 16:28:02.096","0","0","0","12.050443132388152","4.6875"
"03/28/2015 16:28:03.096","0","0","0","12.047622629210384","0"
"03/28/2015 16:28:04.096","0","0","0","12.047622629210384","3.125"
"03/28/2015 16:28:05.096","0","0","0","12.04417534754867","6.25"
"03/28/2015 16:28:06.096","0","0","0","12.082095445827536","4.6875"
"03/28/2015 16:28:07.096","0","0","0","12.061725145099219","0"
"03/28/2015 16:28:08.096","0","0","0","12.061725145099219","1.5625"
"03/28/2015 16:28:09.096","0","0","0","12.061725145099219","3.125"
"03/28/2015 16:28:10.096","0","0","0","12.061725145099219","4.6875"
"03/28/2015 16:28:11.096","0","0","0","12.054830581775789","3.125"
"03/28/2015 16:28:12.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:13.096","0","0","0","12.052636857081971","6.25"
"03/28/2015 16:28:14.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:15.096","0","0","0","12.052636857081971","9.375"
"03/28/2015 16:28:16.096","0","0","0","12.052636857081971","1.5625"
"03/28/2015 16:28:17.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:18.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:19.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:20.096","0","0","0","12.052636857081971","1.5625"
"03/28/2015 16:28:21.096","0","0","0","12.052636857081971","6.25"
"03/28/2015 16:28:22.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:23.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:24.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:25.096","0","0","0","12.052636857081971","0"
"03/28/2015 16:28:26.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:27.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:28.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:29.096","0","0","0","12.052636857081971","6.25"
"03/28/2015 16:28:30.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:31.096","0","0","0","12.052636857081971","0"
"03/28/2015 16:28:32.096","0","0","0","12.052636857081971","1.5625"
"03/28/2015 16:28:33.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:28:34.096","0","0","0","12.052636857081971","1.5625"
"03/28/2015 16:28:35.096","0","0","0","12.052636857081971","3.125"
"03/28/2015 16:28:36.096","0","0","0","12.049189575420256","3.125"
"03/28/2015 16:28:37.096","0","0","0","12.068933097664623","3.125"
"03/28/2015 16:28:38.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:28:39.096","0","0","0","12.036967394983265","0"
"03/28/2015 16:28:40.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:41.096","0","0","0","12.036967394983265","0"
"03/28/2015 16:28:42.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:43.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:28:44.096","0","0","0","12.037280784225239","1.5625"
"03/28/2015 16:28:45.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:28:46.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:47.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:48.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:28:49.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:28:50.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:51.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:28:52.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:28:53.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:54.096","0","0","0","12.036967394983265","0"
"03/28/2015 16:28:55.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:28:56.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:28:57.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:28:58.096","0","0","0","12.036967394983265","7.8125"
"03/28/2015 16:28:59.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:29:00.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:29:01.096","0","0","0","12.036967394983265","6.25"
"03/28/2015 16:29:02.096","0","0","0","12.036967394983265","1.5625"
"03/28/2015 16:29:03.096","0","0","0","12.036967394983265","7.8125"
"03/28/2015 16:29:04.096","0","0","0","12.036967394983265","3.125"
"03/28/2015 16:29:05.096","0","0","0","12.036967394983265","6.25"
"03/28/2015 16:29:06.096","0","0","0","12.036967394983265","4.6875"
"03/28/2015 16:29:07.096","0","0","0","12.036967394983265","7.8125"
"03/28/2015 16:29:08.096","0","0","0","12.070500043874494","4.6875"
"03/28/2015 16:29:09.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:29:10.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:29:11.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:29:12.096","0","0","0","12.052323467839996","1.5625"
"03/28/2015 16:29:13.096","0","0","0","12.052323467839996","3.125"
"03/28/2015 16:29:14.096","0","0","0","12.052636857081971","4.6875"
"03/28/2015 16:29:15.096","0","0","0","12.052323467839996","3.125"
